Epoch,Phase,Loss
1,train,0.1327868433445692
1,test,0.020963882058858872
2,train,0.013018725479021668
2,test,0.01008205824221174
3,train,0.007871157580986618
3,test,0.007987721475462119
4,train,0.006560965774580836
4,test,0.007320936728889744
5,train,0.006054573165252805
5,test,0.00703976149049898
6,train,0.0058035790771245955
6,test,0.006895136170399685
7,train,0.005653280774131417
7,test,0.00681173549965024
8,train,0.005552144392393529
8,test,0.006805373633590837
9,train,0.0054764225822873415
9,test,0.0067621397941062845
10,train,0.005418256353586912
10,test,0.006665865917845319
11,train,0.005373851872049272
11,test,0.006662333702358107
12,train,0.00533651911187917
12,test,0.006657031555660069
13,train,0.0053155752429738645
13,test,0.006632744372667124
14,train,0.005280863887630403
14,test,0.00659824218445768
15,train,0.005280068765860051
15,test,0.0067222117655910555
16,train,0.005249042309820652
16,test,0.00659859873354435
17,train,0.00522349271690473
17,test,0.006629594087911149
18,train,0.005225875336676836
18,test,0.006664992777320246
19,train,0.005215894537046552
19,test,0.006649647473047177
20,train,0.005189466152340174
20,test,0.0067252553906291725
21,train,0.0051825948939658705
21,test,0.006835470722677807
22,train,0.005200974078848958
22,test,0.006719988926003377
23,train,0.005187182602938265
23,test,0.006794145413053532
24,train,0.005171387295238673
24,test,0.006724446977799137
25,train,0.005178365747444332
25,test,0.0066223952337168155
26,train,0.005152276246342808
26,test,0.006832579022739082
27,train,0.005194301322102547
27,test,0.006666414524273326
28,train,0.005158146961592138
28,test,0.0066951357612075905
29,train,0.005133756746072322
29,test,0.00669767323260506
30,train,0.005126544096972794
30,test,0.006666021924465895
31,train,0.005124049828387797
31,test,0.006833782390070459
32,train,0.005115948965772986
32,test,0.006856566185597331
33,train,0.005108266798779368
33,test,0.006756910533489038
34,train,0.005109217260498553
34,test,0.006681236916532119
35,train,0.0051831645187921825
35,test,0.006752427534665912
36,train,0.005150772001594305
36,test,0.00667738776265954
37,train,0.005130862197373062
37,test,0.006652467769260208
38,train,0.005111526380293071
38,test,0.006695553817941497
39,train,0.005098929088562727
39,test,0.006753075512436529
